nama_pintu_air,lokasi,latitude,longitude,tanggal,tinggi_air,status_siaga
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-03-09 17:40:00",560,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-03-09 17:40:00",170,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-03-09 17:40:00",1430,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-03-09 17:40:00",1600,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-03-09 17:40:00",1400,"Status : Siaga 3"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2020-03-09 17:40:00",1170,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-03-09 17:40:00",1680,"Status : Normal"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-03-09 18:10:00",240,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-03-09 18:10:00",240,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-03-09 18:10:00",750,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-03-09 18:10:00",6210,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-03-09 18:10:00",210,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2020-03-09 18:10:00",150,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-03-09 18:10:00",3060,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-03-09 18:10:00",1320,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-03-09 18:10:00",1230,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-03-09 18:10:00",-1930,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-03-09 18:10:00",520,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-03-09 18:10:00",530,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-03-09 18:10:00",1030,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2020-03-09 18:10:00",3270,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-03-09 18:10:00",550,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-03-09 18:10:00",170,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-03-09 18:10:00",1430,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-03-09 18:10:00",1590,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-03-09 18:10:00",1400,"Status : Siaga 3"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2020-03-09 18:10:00",1160,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-03-09 18:10:00",1680,"Status : Normal"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-03-09 18:40:00",240,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-03-09 18:40:00",250,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-03-09 18:40:00",770,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-03-09 18:40:00",6210,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-03-09 18:40:00",210,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2020-03-09 18:40:00",150,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-03-09 18:40:00",2960,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-03-09 18:40:00",1320,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-03-09 18:30:00",1260,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-03-09 18:40:00",-1920,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-03-09 18:40:00",520,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-03-09 18:40:00",530,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-03-09 18:40:00",1030,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2020-03-09 18:30:00",3270,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-03-09 18:40:00",550,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-03-09 18:40:00",170,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-03-09 18:40:00",1430,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-03-09 18:40:00",1580,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-03-09 18:40:00",1400,"Status : Siaga 3"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2020-03-09 18:40:00",1160,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-03-09 18:40:00",1680,"Status : Normal"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-03-09 19:10:00",240,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-03-09 19:10:00",250,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-03-09 19:10:00",770,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-03-09 19:10:00",6210,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-03-09 19:10:00",220,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2020-03-09 19:10:00",150,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-03-09 19:10:00",2960,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-03-09 19:10:00",1340,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-03-09 19:10:00",1320,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-03-09 19:10:00",-1940,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-03-09 19:10:00",530,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-03-09 19:10:00",530,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-03-09 19:10:00",1030,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2020-03-09 19:10:00",3270,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-03-09 19:10:00",550,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-03-09 19:10:00",170,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-03-09 19:10:00",1430,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-03-09 19:10:00",1570,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-03-09 19:10:00",1400,"Status : Siaga 3"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2020-03-09 19:00:00",1170,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-03-09 19:10:00",1680,"Status : Normal"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-03-09 19:40:00",240,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-03-09 19:40:00",250,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-03-09 19:40:00",770,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-03-09 19:40:00",6210,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-03-09 19:40:00",220,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2020-03-09 19:40:00",160,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-03-09 19:30:00",2960,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-03-09 19:40:00",1400,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-03-09 19:40:00",1420,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-03-09 19:40:00",-1950,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-03-09 19:40:00",550,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-03-09 19:40:00",530,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-03-09 19:40:00",1030,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2020-03-09 19:40:00",3270,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-03-09 19:40:00",550,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-03-09 19:40:00",170,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-03-09 19:40:00",1430,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-03-09 19:40:00",1570,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-03-09 19:40:00",1400,"Status : Siaga 3"
