nama_pintu_air,lokasi,latitude,longitude,tanggal,tinggi_air,status_siaga
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-02-29 23:40:00",720,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-02-29 23:40:00",550,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-02-29 23:40:00",1840,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-02-29 23:40:00",6500,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-02-29 23:40:00",1170,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2020-02-29 23:40:00",170,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-02-29 23:40:00",3370,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-02-29 23:40:00",1780,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-02-29 23:40:00",1550,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-02-29 23:40:00",-1920,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-02-29 23:40:00",1330,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-02-29 23:40:00",1450,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-02-29 23:40:00",1030,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2020-02-28 15:00:00",4690,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-02-29 23:40:00",1460,"Status : Siaga 3"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-02-29 23:40:00",800,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-02-29 23:40:00",1820,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-02-29 23:00:32",1900,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-02-29 23:40:00",1630,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2020-02-29 23:40:00",2690,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-02-29 23:50:00",2170,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-03-01 00:10:00",640,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-03-01 00:10:00",530,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-03-01 00:10:00",1550,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-03-01 00:10:00",6640,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-03-01 00:10:00",1180,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2020-03-01 00:10:00",200,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-03-01 00:10:00",3470,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-03-01 00:10:00",1770,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-03-01 00:10:00",1510,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-03-01 00:10:00",-1920,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-03-01 00:10:00",1410,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-03-01 00:10:00",1610,"Status : Siaga 3"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-03-01 00:10:00",1030,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2020-02-28 15:00:00",4690,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-03-01 00:10:00",1670,"Status : Siaga 3"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-03-01 00:10:00",800,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-03-01 00:10:00",1810,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-02-29 23:00:32",1900,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-03-01 00:10:00",1690,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2020-03-01 00:10:00",3160,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-03-01 00:20:00",2370,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-03-01 00:40:00",590,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-03-01 00:40:00",510,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-03-01 00:40:00",1340,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-03-01 00:40:00",6650,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-03-01 00:40:00",1190,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2020-03-01 00:40:00",230,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-03-01 00:40:00",3540,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-03-01 00:40:00",1720,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-03-01 00:40:00",1510,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-03-01 00:40:00",-1920,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-03-01 00:40:00",1390,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-03-01 00:40:00",1710,"Status : Siaga 3"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-03-01 00:40:00",1030,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2020-02-28 15:00:00",4690,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-03-01 00:40:00",1750,"Status : Siaga 3"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-03-01 00:40:00",800,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-03-01 00:40:00",1810,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-02-29 23:00:32",1900,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-03-01 00:40:00",1720,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2020-03-01 00:40:00",3130,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-03-01 00:40:00",2430,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-03-01 01:10:00",650,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-03-01 01:10:00",500,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-03-01 01:10:00",750,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-03-01 01:10:00",6660,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-03-01 01:10:00",1200,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2020-03-01 01:10:00",250,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-03-01 01:10:00",3590,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-03-01 01:10:00",1100,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-03-01 01:10:00",1560,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-03-01 01:10:00",-1850,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-03-01 01:10:00",200,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-03-01 01:10:00",1800,"Status : Siaga 3"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-03-01 01:10:00",1080,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2020-02-28 15:00:00",4690,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-03-01 01:10:00",450,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-03-01 01:10:00",800,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-03-01 01:10:00",1810,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-03-01 01:00:29",1900,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-03-01 01:10:00",1750,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2020-03-01 01:10:00",2900,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-03-01 01:10:00",2390,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-03-01 01:40:00",590,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-03-01 01:40:00",480,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-03-01 01:40:00",1270,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-03-01 01:40:00",6680,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-03-01 01:40:00",1210,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2020-03-01 01:30:00",250,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-03-01 01:40:00",3600,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-03-01 01:40:00",1790,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-03-01 01:40:00",1520,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-03-01 01:40:00",-1890,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-03-01 01:40:00",1430,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-03-01 01:40:00",1890,"Status : Siaga 3"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-03-01 01:40:00",1130,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2020-02-28 15:00:00",4690,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-03-01 01:40:00",1720,"Status : Siaga 3"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-03-01 01:40:00",800,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-03-01 01:40:00",1810,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-03-01 01:00:29",1900,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-03-01 01:40:00",1780,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2020-03-01 01:40:00",3100,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-03-01 01:40:00",2520,"Status : Siaga 2"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-03-01 02:00:00",610,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-03-01 02:10:00",470,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-03-01 02:10:00",1480,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-03-01 02:00:00",6760,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-03-01 02:10:00",1230,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2020-03-01 02:10:00",250,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-03-01 02:50:00",3600,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-03-01 02:10:00",1770,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-03-01 02:10:00",1530,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-03-01 02:10:00",-1910,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-03-01 02:10:00",1450,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-03-01 02:10:00",2020,"Status : Siaga 3"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-03-01 02:10:00",1160,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2020-02-28 15:00:00",4690,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-03-01 02:10:00",1680,"Status : Siaga 3"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-03-01 02:10:00",800,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-03-01 02:10:00",1810,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-03-01 01:00:29",1900,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-03-01 02:10:00",1790,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2020-03-01 02:10:00",3220,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-03-01 02:10:00",2370,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-03-01 02:30:00",540,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-03-01 02:30:00",470,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-03-01 02:30:00",1440,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-03-01 02:30:00",6920,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-03-01 02:30:00",1230,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2020-03-01 02:30:00",240,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-03-01 02:50:00",3600,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-03-01 02:30:00",1750,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-03-01 02:30:00",1560,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-03-01 02:30:00",-1910,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-03-01 02:30:00",1430,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-03-01 02:30:00",2100,"Status : Siaga 3"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-03-01 02:30:00",1170,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2020-02-28 15:00:00",4690,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-03-01 02:30:00",1620,"Status : Siaga 3"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-03-01 02:30:00",800,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-03-01 02:30:00",1820,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-03-01 02:00:48",1900,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-03-01 02:30:00",1780,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2020-03-01 02:30:00",3120,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-03-01 02:30:00",2310,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-03-01 03:40:00",580,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-03-01 03:40:00",460,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-03-01 03:30:00",1520,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-03-01 03:40:00",7400,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-03-01 03:40:00",1210,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2020-03-01 03:30:00",210,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-03-01 03:40:00",3880,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-03-01 03:40:00",1810,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-03-01 03:40:00",1570,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-03-01 03:40:00",-1960,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-03-01 03:40:00",1400,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-03-01 03:40:00",2330,"Status : Siaga 3"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-03-01 03:40:00",1150,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2020-02-28 15:00:00",4690,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-03-01 03:40:00",1400,"Status : Siaga 3"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-03-01 03:40:00",800,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-03-01 03:40:00",1820,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-03-01 02:00:48",1900,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-03-01 03:40:00",1760,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2020-03-01 03:40:00",3250,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-03-01 03:40:00",2350,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-03-01 04:10:00",560,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-03-01 04:10:00",440,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-03-01 04:10:00",1040,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-03-01 04:10:00",7570,"Status : Siaga 3"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-03-01 04:10:00",1190,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2020-03-01 04:10:00",190,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-03-01 04:10:00",4010,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-03-01 04:10:00",1810,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-03-01 04:10:00",1560,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-03-01 04:50:00",-1960,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-03-01 04:10:00",1360,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-03-01 04:10:00",2410,"Status : Siaga 3"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-03-01 04:50:00",1130,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2020-02-28 15:00:00",4690,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-03-01 04:10:00",1310,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-03-01 04:10:00",800,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-03-01 04:10:00",1820,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-03-01 02:00:48",1900,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-03-01 04:10:00",1770,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2020-03-01 04:10:00",3290,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-03-01 04:10:00",2230,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-03-01 04:40:00",520,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-03-01 04:40:00",450,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-03-01 04:40:00",1070,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-03-01 04:40:00",7680,"Status : Siaga 3"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-03-01 04:40:00",1180,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2020-03-01 04:40:00",180,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-03-01 04:40:00",4120,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-03-01 04:40:00",1780,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-03-01 04:40:00",1530,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-03-01 04:50:00",-1960,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-03-01 04:40:00",1330,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-03-01 04:40:00",2470,"Status : Siaga 3"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-03-01 04:50:00",1130,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2020-02-28 15:00:00",4690,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-03-01 04:40:00",1260,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-03-01 04:40:00",800,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-03-01 04:40:00",1820,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-03-01 02:00:48",1900,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-03-01 04:40:00",1760,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2020-03-01 04:40:00",3210,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-03-01 04:40:00",2210,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-03-01 05:10:00",510,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-03-01 05:10:00",450,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-03-01 05:10:00",1040,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-03-01 05:10:00",7770,"Status : Siaga 3"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-03-01 05:10:00",1160,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2020-03-01 05:10:00",170,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-03-01 05:10:00",4270,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-03-01 05:10:00",1800,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-03-01 05:10:00",1510,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-03-01 05:10:00",-1940,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-03-01 05:10:00",1160,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-03-01 05:10:00",2510,"Status : Siaga 2"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-03-01 05:10:00",1040,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2020-02-28 15:00:00",4690,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-03-01 05:10:00",1190,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-03-01 05:10:00",800,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-03-01 05:10:00",1810,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-03-01 02:00:48",1900,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-03-01 05:10:00",1760,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2020-03-01 05:10:00",2900,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-03-01 05:10:00",2160,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-03-01 05:40:00",530,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-03-01 05:40:00",460,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-03-01 05:40:00",980,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-03-01 05:40:00",7850,"Status : Siaga 3"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-03-01 05:40:00",1140,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2020-03-01 05:40:00",160,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-03-01 05:40:00",4360,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-03-01 05:40:00",1780,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-03-01 05:40:00",1550,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-03-01 05:40:00",-1940,"Status : Normal"
